acronym	Partnership	action
Nexus	Eurostars 2	Article 185
DC-PEM	M-ERA.NET 3	ERA-NET Cofund
WEFE4MED	PRIMA	Article 185
ND-PETMRI	JPco-fuND	ERA-NET Cofund
NAB3	JPco-fuND	ERA-NET Cofund
PBD	Eurostars 2	Article 185
LIBRA	Eurostars 2	Article 185
CARBOBRAKE	M-ERA.NET 2	ERA-NET Cofund
FXSFIX	Eurostars 2	Article 185
MiniPump	Eurostars 2	Article 185
CERVI PRO	Eurostars 2	Article 185
CERORSOM	Eurostars 2	Article 185
DEMETRE	MANUNET III	ERA-NET Cofund
Carrier4TSC	Eurostars 2	Article 185
LIPOLOGIC	Eurostars 2	Article 185
DIA-PEP	Eurostars 2	Article 185
IsoFoamComp	M-ERA.NET 3	ERA-NET Cofund
ManuMax	BESTF3	ERA-NET Cofund
COtruder	Eurostars 2	Article 185
Lioncell	Eurostars 2	Article 185
HEMOSPRAY	Eurostars 2	Article 185
SuTBA	Eurostars 2	Article 185
MULTI-IA	MANUNET III	ERA-NET Cofund
NUTRISENS	Eurostars 2	Article 185
ENVALGRA	M-ERA.NET 2	ERA-NET Cofund
AAVanguard	Eurostars 2	Article 185
EffiBody	Eurostars 2	Article 185
DISINCOLOUR	Eurostars 2	Article 185
OnlineStar	Eurostars 2	Article 185
ACT	Eurostars 2	Article 185
DiSARM FEAR	Eurostars 2	Article 185
DIMINISH	Eurostars 2	Article 185
IMMOONITY	Eurostars 2	Article 185
PROMISE	Eurostars 2	Article 185
NAS-AMP	Eurostars 2	Article 185
nanoPD	M-ERA.NET 2	ERA-NET Cofund
PaCaNano	TRANSCAN-3	ERA-NET Cofund
CytoMARK	ERA PerMed	ERA-NET Cofund
BiSECT	Eurostars 2	Article 185
ET4D	ICT-AGRI-FOOD	ERA-NET Cofund
PSDP	Eurostars 2	Article 185
REPPECAT	Eurostars 2	Article 185
CAE-RAPID	ICRAD	ERA-NET Cofund
DigiRAS	BlueBio	ERA-NET Cofund
SUV-Lithography	Eurostars 2	Article 185
EGOPhe	Eurostars 2	Article 185
Smart PROline	Eurostars 2	Article 185
SimpliProBar	Eurostars 2	Article 185
Coolways	Eurostars 2	Article 185
MucoVAC	Eurostars 2	Article 185
KERALAM	Eurostars 2	Article 185
ECO-PROTECT	Eurostars 2	Article 185
PEYNAUD	Eurostars 2	Article 185
EXCITING	Eurostars 2	Article 185
DISAVIT	Eurostars 2	Article 185
NORMFORCE2	Eurostars 2	Article 185
SEPSDIA	Eurostars 2	Article 185
CRYONOISE	Eurostars 2	Article 185
CO2PRINT	Eurostars 2	Article 185
5GCareHorizon	Eurostars 2	Article 185
LPG for downsized engines	Eurostars 2	Article 185
StephanieNPA	Eurostars 2	Article 185
STREAM	Eurostars 2	Article 185
GeoKey	Eurostars 2	Article 185
PAN-KIT	Eurostars 2	Article 185
DEEPBRAIN	Eurostars 2	Article 185
PREDMITEFEED	Eurostars 2	Article 185
ADVANCRTM	Eurostars 2	Article 185
Campylo-Phage	Eurostars 2	Article 185
BIOCAPS	Eurostars 2	Article 185
CRC-BMO	Eurostars 2	Article 185
Boron-Basalt fibers	M-ERA.NET 2	ERA-NET Cofund
NewPolysurf	Eurostars 2	Article 185
DOMINO	FLAG-ERA III	ERA-NET Cofund
CAPDrinks	Eurostars 2	Article 185
MAR-WRECK	M-ERA.NET 3	ERA-NET Cofund
GRAPHENERGY	Eurostars 2	Article 185
INN4MIN	ERA-MIN3	ERA-NET Cofund
WAMECH	MANUNET III	ERA-NET Cofund
Contactless Replay	Eurostars 2	Article 185
ICOM	Eurostars 2	Article 185
LIB2SIB	M-ERA.NET 3	ERA-NET Cofund
PixelJet	Eurostars 2	Article 185
RYE-SUS	SusCrop	ERA-NET Cofund
17IND07 DynPT	EMPIR	Article 185
DIADEM	Eurostars 2	Article 185
EMMA	MANUNET III	ERA-NET Cofund
NANOpheles	EuroNanoMed III	ERA-NET Cofund
Neo-Lung	Eurostars 2	Article 185
Super C-OMPF	Eurostars 2	Article 185
UltraGasQ Technology	Eurostars 2	Article 185
MEDWHEALTH	PRIMA	Article 185
TARGIT	Eurostars 2	Article 185
CASENIPP	Eurostars 2	Article 185
NEWHS4PCR	Eurostars 2	Article 185
BATMAN	M-ERA.NET 3	ERA-NET Cofund
RootsPlus	SusCrop	ERA-NET Cofund
DCEC2	M-ERA.NET 3	ERA-NET Cofund
HyprSTEP	M-ERA.NET 2	ERA-NET Cofund
LyMoDx	Eurostars 2	Article 185
SLiCE	M-ERA.NET 2	ERA-NET Cofund
RapidFAB	Eurostars 2	Article 185
DevInDS	NEURON Cofund2	ERA-NET Cofund
iMOD-ReACT	Eurostars 2	Article 185
AMORPHOUS_PHARMA	Eurostars 2	Article 185
CHLOFFIN	Eurostars 2	Article 185
16RPT01 ChemMet-Cap	EMPIR	Article 185
CellSenseGels	Eurostars 2	Article 185
HyFly-VTOL	Eurostars 2	Article 185
GreenPalm	PRIMA	Article 185
SustainFibresFCM	M-ERA.NET 3	ERA-NET Cofund
ComptonVision	Eurostars 2	Article 185
FULL COMPOSITE CAR	Eurostars 2	Article 185
TREAT-AHDS	Eurostars 2	Article 185
PPC	Eurostars 2	Article 185
NPS-REFORM	Eurostars 2	Article 185
H2 CoopStorage	EN SGplusRegSys	ERA-NET Cofund
Pvtool	SOLAR-ERA.NET Cofund	ERA-NET Cofund
Doublelayer	Eurostars 2	Article 185
DISRUPT	Eurostars 2	Article 185
UCS	Eurostars 2	Article 185
Multi-DETECT	Eurostars 2	Article 185
CleanLake	M-ERA.NET 3	ERA-NET Cofund
DAAMAS	MANUNET III	ERA-NET Cofund
OCWHD VERNEX	Eurostars 2	Article 185
DePriSS	M-ERA.NET 2	ERA-NET Cofund
DIMASKIN	Eurostars 2	Article 185
PVgnosis	Solar Cofund 2	ERA-NET Cofund
EIB DIGITAL TOOL	Eurostars 2	Article 185
HASA	EDCTP2	Article 185
PARKDEVICE	Eurostars 2	Article 185
DIPPA-FTD	JPCOFUND2	ERA-NET Cofund
CD-CARD	Eurostars 2	Article 185
DiTECT-HAT	EDCTP2	Article 185
DISCO	QuantERA II	ERA-NET Cofund
DiGuMet	HDHL-INTIMIC	ERA-NET Cofund
DIETARY DEAL	HDHL-INTIMIC	ERA-NET Cofund
DIFAMEM	ERA-HDHL	ERA-NET Cofund
EURODIET	HDHL-INTIMIC	ERA-NET Cofund
DIMENSION	ERA-HDHL	ERA-NET Cofund
Di-Mi-Liv	HDHL-INTIMIC	ERA-NET Cofund
DEVISE	EN SGplusRegSys	ERA-NET Cofund
DIGIMON	ACT	ERA-NET Cofund
DigiFREN	CHANSE	ERA-NET Cofund
DiDe	CHANSE	ERA-NET Cofund
DIGeMERGE	CHANSE	ERA-NET Cofund
DIEGO	EnerDigit	ERA-NET Cofund
DIANA	AAL 2	Article 185
DISTRHEAT	EN SGplusRegSys	ERA-NET Cofund
DIGITISLAM	CHANSE	ERA-NET Cofund
DigiMan	MANUNET III	ERA-NET Cofund
PSYCH-AID	Eurostars 2	Article 185
Dr TIDE	Eurostars 2	Article 185
DigIPlat	EnerDigit	ERA-NET Cofund
DAWN-AF	ERA PerMed	ERA-NET Cofund
DATI	PRIMA	Article 185
e-LIFE	AAL 2	Article 185
DIWIEN	EnerDigit	ERA-NET Cofund
AV-Treasure	Eurostars 2	Article 185
DaQoTa	Eurostars 2	Article 185
DOMINO	WaterWorks2014	ERA-NET Cofund
DIFFUGAT	SusCrop	ERA-NET Cofund
MACE	ACT	ERA-NET Cofund
RecyLIB	ERA-MIN3	ERA-NET Cofund
DIAManT	Eurostars 2	Article 185
PAIRWISE	AquaticPollutants	ERA-NET Cofund
DISCOVERY	SUSFOOD2	ERA-NET Cofund
DiscoveRNA	Eurostars 2	Article 185
MOODMARKER	NEURON Cofund	ERA-NET Cofund
PROGRESS	NEURON Cofund2	ERA-NET Cofund
EUROPACH	HERA JRP UP	ERA-NET Cofund
Room-Disinfect	Eurostars 2	Article 185
CycleDrug	JPIAMR-ACTION	ERA-NET Cofund
nEUrotalk	NEURON Cofund	ERA-NET Cofund
PERFECTspine	Eurostars 2	Article 185
MEND-AGE	ERA-CVD	ERA-NET Cofund
ITEM	TRANSCAN-2	ERA-NET Cofund
DQUANT	QuantERA II	ERA-NET Cofund
3D-STELLAR	PRIMA	Article 185
GENTE	EnerDigit	ERA-NET Cofund
DIESEL	Eurostars 2	Article 185
DREAM	PRIMA	Article 185
DIVERSILIANCE	CORE Organic Cofund	ERA-NET Cofund
FOOdIVERSE	CORE Organic Cofund	ERA-NET Cofund
DiMoC	BiodivERsA3	ERA-NET Cofund
Dr. FOREST	BiodivERsA3	ERA-NET Cofund
PlasmaPack	MANUNET III	ERA-NET Cofund
BEYOND	Eurostars 2	Article 185
OptiPort	Eurostars 2	Article 185
DoTIS	Eurostars 2	Article 185
DDBIOS	JPIAMR-ACTION	ERA-NET Cofund
DD-scaff	M-ERA.NET 2	ERA-NET Cofund
IsoWire	M-ERA.NET 2	ERA-NET Cofund
NextGen	Eurostars 2	Article 185
DryProTex	M-ERA.NET 2	ERA-NET Cofund
PERDRY	Solar Cofund 2	ERA-NET Cofund
CYCLOLIVE	PRIMA	Article 185
DAP Tech	Eurostars 2	Article 185
EPICA	TRANSCAN-2	ERA-NET Cofund
DENIM	ERA-CVD	ERA-NET Cofund
EcoMat	M-ERA.NET 3	ERA-NET Cofund
DURACER	M-ERA.NET 2	ERA-NET Cofund
DustClim	ERA4CS	ERA-NET Cofund
DynaTTB	ForestValue	ERA-NET Cofund
AMCOSTAR	Eurostars 2	Article 185
3DFed	Eurostars 2	Article 185
Dynamic Mobility Nudge (DyMoN)	EN-UAC	ERA-NET Cofund
DynaMITE	EMPIR	Article 185
DYNAFLOW	ERACoSysMed	ERA-NET Cofund
DAISIE	DIAL	ERA-NET Cofund
DynAMoND	NEURON Cofund2	ERA-NET Cofund
B3phrenia	NEURON Cofund2	ERA-NET Cofund
TRAC	Eurostars 2	Article 185
E-REGIO	ERANet SmartGridPlus	ERA-NET Cofund
E-TRACT	EMEurope	ERA-NET Cofund
EDWIGE	Eurostars 2	Article 185
EASMO	BiodivClim	ERA-NET Cofund
ECO-DWOR	Eurostars 2	Article 185
SOAY	EDCTP2	Article 185
ISRE	EDCTP2	Article 185
ALBA	EDCTP2	Article 185
MWWA	EDCTP2	Article 185
SUES	EDCTP2	Article 185
STWA	EDCTP2	Article 185
ARLA	EDCTP2	Article 185
EEG-Serv	Eurostars 2	Article 185
EEG-DDS	Eurostars 2	Article 185
EEG4Stroke	Eurostars 2	Article 185
EHRpathways	Eurostars 2	Article 185
EUHTS4ALL	Eurostars 2	Article 185
HTS4ALL	Eurostars 2	Article 185
AMANDT	MANUNET III	ERA-NET Cofund
SURE_NEXUS	PRIMA	Article 185
ENLARGE	EN-SUGI	ERA-NET Cofund
ENMESH	SOLAR-ERA.NET Cofund	ERA-NET Cofund
ENRICH	ERA-CVD	ERA-NET Cofund
ENPHOCAL	FLAG-ERA III	ERA-NET Cofund
EPC4SES	EN SGplusRegSys	ERA-NET Cofund
EU-FINGERS	JPCOFUND2	ERA-NET Cofund
EUPHEME	ERA4CS	ERA-NET Cofund
EXERGETIC	AAL 2	Article 185
EX-TRA	EN-UAC	ERA-NET Cofund
EASyCHO	Eurostars 2	Article 185
E-DADS	JPCOFUND2	ERA-NET Cofund
PROLIPSY	TRANSCAN-2	ERA-NET Cofund
MSOP-PRE	ERA PerMed	ERA-NET Cofund
eWARE	AAL 2	Article 185
EDAP-AD	ERA PerMed	ERA-NET Cofund
ShigOraVax	EDCTP2	Article 185
sECRET	EDCTP2	Article 185
Cardio-Oncology	ERA-CVD	ERA-NET Cofund
ANGELA	TRANSCAN-3	ERA-NET Cofund
THRuST	TRANSCAN-2	ERA-NET Cofund
ETAP	ERA PerMed	ERA-NET Cofund
ALPHABET	ERA-HDHL	ERA-NET Cofund
EBio2	NEURON Cofund	ERA-NET Cofund
FloodCitiSense	ENSUF	ERA-NET Cofund
NutriPROGRAM	ERA-HDHL	ERA-NET Cofund
CaFeOx	M-ERA.NET 2	ERA-NET Cofund
Easierphone	AAL 2	Article 185
EAPI	EDCTP2	Article 185
EAU-TBC	HERA JRP UP	ERA-NET Cofund
EACCR -2	EDCTP2	Article 185
WildFood	PRIMA	Article 185
COMPIO	M-ERA.NET 2	ERA-NET Cofund
ECOSOL	SusCrop	ERA-NET Cofund
VINEPROTECT	PRIMA	Article 185
ECOSun	Solar Cofund 2	ERA-NET Cofund
EcHoLas	Eurostars 2	Article 185
EVOLVE	OCEANERA-NET COFUND	ERA-NET Cofund
SoilMan	BiodivERsA3	ERA-NET Cofund
PUMBA	EDCTP2	Article 185
THECA	EDCTP2	Article 185
SWATCH	PRIMA	Article 185
EpiAD	JPco-fuND	ERA-NET Cofund
REMIND	EDCTP2	Article 185
ERADIAMR	JPIAMR-ACTION	ERA-NET Cofund
TREAT-sIBM	Eurostars 2	Article 185
PROMEDRICE	PRIMA	Article 185
ENSURE	ACT	ERA-NET Cofund
Neo bnAb	EDCTP2	Article 185
PERHAPS	EDCTP2	Article 185
PYRAPREG	EDCTP2	Article 185
OxyGaN	M-ERA.NET 2	ERA-NET Cofund
ManiCode	Eurostars 2	Article 185
MatchIT	ERANet SmartGridPlus	ERA-NET Cofund
E-NAV	Eurostars 2	Article 185
Roll-2-Roll-Holography	Eurostars 2	Article 185
WATERMED 4.0	PRIMA	Article 185
SusMedHouse	PRIMA	Article 185
DolPOD	Eurostars 2	Article 185
ENSAFE	AAL 2	Article 185
EMWF	EMEurope	ERA-NET Cofund
eMaaS	EMEurope	ERA-NET Cofund
E-vib	Eurostars 2	Article 185
EUFAL	EMEurope	ERA-NET Cofund
EVERCHARGE	Eurostars 2	Article 185
EV-CHIP	EN SGplusRegSys	ERA-NET Cofund
Boom! EMA.	Eurostars 2	Article 185
IRONPLUGNPLAY	ERA CoBioTech	ERA-NET Cofund
ELECTRIC TRAVELLING	EMEurope	ERA-NET Cofund
ElecTurSys2	Eurostars 2	Article 185
Elena	EMPIR	Article 185
DIMAG	FLAG-ERA III	ERA-NET Cofund
EMALEECH	Eurostars 2	Article 185
Sb-RECMEMTEC	ERA-MIN 2	ERA-NET Cofund
17NRM02 MeterEMI	EMPIR	Article 185
EMPATHY	ERA-CVD	ERA-NET Cofund
emBrace	Eurostars 2	Article 185
GREENRIM	Eurostars 2	Article 185
NiWRe-Alloys	M-ERA.NET 2	ERA-NET Cofund
AntiMicroMXen	M-ERA.NET 3	ERA-NET Cofund
ELLA4LIFE	AAL 2	Article 185
OPERATION	ERA-CVD	ERA-NET Cofund
INTACTBioPack	PRIMA	Article 185
SAPHIRA	PRIMA	Article 185
A- BLOCK	PRIMA	Article 185
SuN4Med	PRIMA	Article 185
DurInnPack	PRIMA	Article 185
ELVISA	Eurostars 2	Article 185
HPGEN-EMBEDDED	Eurostars 2	Article 185
CREATE	ENUTC	ERA-NET Cofund
ELPIS	NEURON Cofund	ERA-NET Cofund
ERAIN	EDCTP2	Article 185
EPICVIR	ICRAD	ERA-NET Cofund
Emilio	AAL 2	Article 185
EMPIRICAL	EDCTP2	Article 185
NOVEL	TRANSCAN-2	ERA-NET Cofund
CiM	AAL 2	Article 185
MountainHER	PRIMA	Article 185
ENLightenMEnt	Eurostars 2	Article 185
EQUAISE	QuantERA II	ERA-NET Cofund
FarmSustainaBl	ERA-GAS	ERA-NET Cofund
Eco-OLED	M-ERA.NET 2	ERA-NET Cofund
ELEGANCY	ACT	ERA-NET Cofund
ENABLE	BiodivERsA3	ERA-NET Cofund
Erigeneia	SOLAR-ERA.NET Cofund	ERA-NET Cofund
ENTAN	Eurostars 2	Article 185
FreeBirds	CORE Organic Cofund	ERA-NET Cofund
ELiMINATE	ERA-MIN 2	ERA-NET Cofund
EDUCAIT	Eurostars 2	Article 185
En-ActivETICS	M-ERA.NET 2	ERA-NET Cofund
BENgine II	Eurostars 2	Article 185
ENEFRF	Eurostars 2	Article 185
AQUAGREEN	Eurostars 2	Article 185
EMBS	ERANet SmartGridPlus	ERA-NET Cofund
ESPRESSO	Eurostars 2	Article 185
CCSRender	M-ERA.NET 2	ERA-NET Cofund
Power-2-Transport	EN SGplusRegSys	ERA-NET Cofund
EU+  (resubmission)	Eurostars 2	Article 185
EASy-FIX	MANUNET III	ERA-NET Cofund
Nano4Glio	M-ERA.NET 3	ERA-NET Cofund
Pelargodont	M-ERA.NET 2	ERA-NET Cofund
Cell4Chem	ERA CoBioTech	ERA-NET Cofund
SunToChem	M-ERA.NET 2	ERA-NET Cofund
SIOX	M-ERA.NET 2	ERA-NET Cofund
HetCat	M-ERA.NET 3	ERA-NET Cofund
TopoGraph	FLAG-ERA II	ERA-NET Cofund
EDLAH2	AAL 2	Article 185
EERMF	Eurostars 2	Article 185
WoodLCC	ForestValue	ERA-NET Cofund
EQSOTIC	QuantERA II	ERA-NET Cofund
EROVMUS	MarTERA	ERA-NET Cofund
EVS/A	Eurostars 2	Article 185
LAPE	Eurostars 2	Article 185
Frac-In-Ox	Eurostars 2	Article 185
Reliable GF-3D	M-ERA.NET 2	ERA-NET Cofund
ERAAT	E-Rare-3	ERA-NET Cofund
Enhancing Ethics in Sudan	EDCTP2	Article 185
MPA4sustainability	BiodivRestore	ERA-NET Cofund
BIOFRESHCLOUD	PRIMA	Article 185
ERUDIT	EDCTP2	Article 185
EnTruGo	WaterWorks2017	ERA-NET Cofund
QualiSea	BlueBio	ERA-NET Cofund
Capa-CT	EDCTP2	Article 185
CerealMed	PRIMA	Article 185
Livestock Sense	ICT-AGRI-FOOD	ERA-NET Cofund
ENDORSE	EDCTP2	Article 185
14IND04 EMPRESS	EMPIR	Article 185
17IND04 EMPRESS 2	EMPIR	Article 185
ERECIS	EDCTP2	Article 185
SALIENSEAS	ERA4CS	ERA-NET Cofund
CANUTE	Eurostars 2	Article 185
SOLIMEC	M-ERA.NET 3	ERA-NET Cofund
EVOKED	ERA4CS	ERA-NET Cofund
ERyQSenS	QuantERA	ERA-NET Cofund
EnterTrain	AAL 2	Article 185
EMBEET	Eurostars 2	Article 185
EPICC-	BiodivClim	ERA-NET Cofund
SPARE-SEA	AquaticPollutants	ERA-NET Cofund
RecMine	ERA-MIN3	ERA-NET Cofund
WooBAdh	ERA CoBioTech	ERA-NET Cofund
TRALAMINOL	ERA CoBioTech	ERA-NET Cofund
EnzymeCropProtect	Eurostars 2	Article 185
EPIRISK-Ebov	EDCTP2	Article 185
EDIIMark2	EDCTP2	Article 185
EpiBrain	ERA-HDHL	ERA-NET Cofund
IMAGene	ERA PerMed	ERA-NET Cofund
EquiMoves	Eurostars 2	Article 185
ED-VIMA	Eurostars 2	Article 185
EQUIP	QuantERA II	ERA-NET Cofund
GEO-essential	ERA-PLANET	ERA-NET Cofund
ECO-BASE	ACT	ERA-NET Cofund
NExT	TRANSCAN-2	ERA-NET Cofund
CLIMAQUA	FOSC	ERA-NET Cofund
MFMET	EMPIR	Article 185
17RPT02 rhoLiq	EMPIR	Article 185
ECnex	Eurostars 2	Article 185
EADB	JPco-fuND	ERA-NET Cofund
Restiversities	HERA-JRP-PS	ERA-NET Cofund
ENISNIP	EJP RD	EJP Cofund
EuroLithos	GeoERA	ERA-NET Cofund
EuroPaTMoS	CSP ERANET	ERA-NET Cofund
EPIC	M-ERA.NET 2	ERA-NET Cofund
EPR	ERANet SmartGridPlus	ERA-NET Cofund
EPPS	Eurostars 2	Article 185
EuroSRAM4SPACE	Eurostars 2	Article 185
ESMI	JPco-fuND	ERA-NET Cofund
EUROFINISH	Eurostars 2	Article 185
EUFIND	JPco-fuND	ERA-NET Cofund
ECLISEA	ERA4CS	ERA-NET Cofund
HEALTHE-RND	JPCOFUND2	ERA-NET Cofund
EuFish_SustainableGrowth	BlueBio	ERA-NET Cofund
NSEuroNet	E-Rare-3	ERA-NET Cofund
NSEuroNet	EJP RD	EJP Cofund
EuroLED	Eurostars 2	Article 185
Eutro-Sed	WaterWorks2015	ERA-NET Cofund
eCARE-22q11	EJP RD	EJP Cofund
RESERVEBENEFIT	BiodivERsA3	ERA-NET Cofund
DIRT-X	AXIS	ERA-NET Cofund
Evaluate 4mTB	EDCTP2	Article 185
EADANMBRT	PRIMA	Article 185
AgriAs	WaterWorks2015	ERA-NET Cofund
EvEmBi	BESTF3	ERA-NET Cofund
Highrif-C	EDCTP2	Article 185
READY-study	EDCTP2	Article 185
BuruliNox	EDCTP2	Article 185
MDRTBTx-Monitor	EDCTP2	Article 185
SOLID	EDCTP2	Article 185
Screen TB	EDCTP2	Article 185
TBMBIOMARKERS	EDCTP2	Article 185
EvaLAMP & db-NALFIA	EDCTP2	Article 185
SeroSelectTB	EDCTP2	Article 185
EDFIRE	Eurostars 2	Article 185
ACCTRA	EN-UAC	ERA-NET Cofund
EviBAN	WaterWorks2017	ERA-NET Cofund
INTRACOLOR	TRANSCAN-2	ERA-NET Cofund
PEGMAT	ERA-MIN3	ERA-NET Cofund
FUTUREGEN	GENDER NET Plus	ERA-NET Cofund
embraceME	Eurostars 2	Article 185
EXIT	EuroNanoMed III	ERA-NET Cofund
ENAMEP	EuroNanoMed III	ERA-NET Cofund
15RPT03 HUMEA	EMPIR	Article 185
ExTRaQT	QuantERA II	ERA-NET Cofund
eDICT	QuantERA	ERA-NET Cofund
PROSCANEXO	TRANSCAN-2	ERA-NET Cofund
Smart-FI	ENSCC	ERA-NET Cofund
E2TPA	QuantERA II	ERA-NET Cofund
FUNCELL	MANUNET III	ERA-NET Cofund
LipidMac	TRANSCAN-3	ERA-NET Cofund
ProxIMed	PRIMA	Article 185
EMMA	M-ERA.NET 2	ERA-NET Cofund
EXPLOWHEAT	PRIMA	Article 185
NG4Leuko	EJP RD	EJP Cofund
EXPERT	ERA-CVD	ERA-NET Cofund
TREAT-HGPS	E-Rare-3	ERA-NET Cofund
MICROEXPLORATION	ERA-CVD	ERA-NET Cofund
EXACT-MS	Eurostars 2	Article 185
X-SOLVER	Eurostars 2	Article 185
DRBD4Cloud	Eurostars 2	Article 185
EOM4SOIL	EJP SOIL	EJP Cofund
EXRIL	Eurostars 2	Article 185
BIOCARB-4-FOOD	SUSFOOD2	ERA-NET Cofund
ExId	Governance	ERA-NET Cofund
EHSAM	Eurostars 2	Article 185
FAIRVASC	EJP RD	EJP Cofund
FARM-CARE	JPIAMR-ACTION	ERA-NET Cofund
FAMOSOS	EJP SOIL	EJP Cofund
FUTURE	ERA-MIN3	ERA-NET Cofund
FIND-a-PAL	AAL 2	Article 185
FIRENWOOD	ForestValue	ERA-NET Cofund
FISMEP	ERANet SmartGridPlus	ERA-NET Cofund
FLOODLABEL	ENSUF	ERA-NET Cofund
FLOW CAM	MarTERA	ERA-NET Cofund
Food2Gather	HERA-JRP-PS	ERA-NET Cofund
FORTO 2.0	AAL 2	Article 185
FSWALIND	MANUNET III	ERA-NET Cofund
FRIDASTEM	Eurostars 2	Article 185
FREACS	EJP SOIL	EJP Cofund
FUNCY-SSB	M-ERA.NET 3	ERA-NET Cofund
FUNPLASTIC	Eurostars 2	Article 185
FUNC-BIOINK	Eurostars 2	Article 185
FUSE	EN-SUGI	ERA-NET Cofund
RODENTGATE	ICRAD	ERA-NET Cofund
CellColor	M-ERA.NET 2	ERA-NET Cofund
NanoPerWater	Eurostars 2	Article 185
HOMBIOCAT	ERA CoBioTech	ERA-NET Cofund
FaceRehab	AAL 2	Article 185
FROCKG	Eurostars 2	Article 185
MeaTIc	HDHL-INTIMIC	ERA-NET Cofund
WAS4WOS	Eurostars 2	Article 185
FireON	Eurostars 2	Article 185
FRESHH	BiodivRestore	ERA-NET Cofund
FARMS 4 Biodiversity	BiodivScen	ERA-NET Cofund
FLAIR	Eurostars 2	Article 185
FINDR	ICT-AGRI-FOOD	ERA-NET Cofund
MonIs	Eurostars 2	Article 185
FREEBILY	EDCTP2	Article 185
FASTSPEC	Eurostars 2	Article 185
FATICE	MarTERA	ERA-NET Cofund
FAME	ERA-HDHL	ERA-NET Cofund
FAST Study	EDCTP2	Article 185
LUE Gas-Bearing	Eurostars 2	Article 185
TrauMAP	NEURON Cofund2	ERA-NET Cofund
FeedBaCks	BiodivClim	ERA-NET Cofund
FERBLEND	CORE Organic Cofund	ERA-NET Cofund
CurcumAGE	EuroNanoMed III	ERA-NET Cofund
FESTSPACE	HERA-JRP-PS	ERA-NET Cofund
FIFU	Eurostars 2	Article 185
FASPEC	PhotonicSensing	ERA-NET Cofund
FiGAnti	QuantERA II	ERA-NET Cofund
CompoRail	M-ERA.NET 2	ERA-NET Cofund
FIBER	ERA-CVD	ERA-NET Cofund
Triage TB	EDCTP2	Article 185
ETEC Vaccine Efficacy	EDCTP2	Article 185
InQuRe	QuantERA II	ERA-NET Cofund
14SIP06 Siloxanes	EMPIR	Article 185
PLAQUEFIGHT	ERA-CVD	ERA-NET Cofund
FLORA	Eurostars 2	Article 185
FIRE-CLL	TRANSCAN-2	ERA-NET Cofund
FILAMENTS4FUSION	Eurostars 2	Article 185
FILUSONIC2	Eurostars 2	Article 185
FinSESCo	EnerDigit	ERA-NET Cofund
Firefly	Eurostars 2	Article 185
EndObesity	HDHL-INTIMIC	ERA-NET Cofund
FLAMELESS	Eurostars 2	Article 185
PRECISE	Eurostars 2	Article 185
BUTTERFLY	Eurostars 2	Article 185
EPIGENEXT	Eurostars 2	Article 185
SHIELD	Eurostars 2	Article 185
PEANUT-BETTER	Eurostars 2	Article 185
FiT UP	Eurostars 2	Article 185
FLAT BREAD MINE	PRIMA	Article 185
Flexi-Sync	EN SGplusRegSys	ERA-NET Cofund
FLexSUS	EN SGplusRegSys	ERA-NET Cofund
FlexiMan	MarTERA	ERA-NET Cofund
FLEXIHEAT	Eurostars 2	Article 185
FMF	M-ERA.NET 2	ERA-NET Cofund
FutureMold	M-ERA.NET 3	ERA-NET Cofund
Flex-EVPV Converter	Eurostars 2	Article 185
FLEXPECs	Solar Cofund 2	ERA-NET Cofund
FORMCELL	Eurostars 2	Article 185
FTMC turbine	Eurostars 2	Article 185
NEWGASMET	EMPIR	Article 185
3D-FOAM	M-ERA.NET 3	ERA-NET Cofund
Follow.Me	AAL 2	Article 185
FOODPHYT	HDHL-INTIMIC	ERA-NET Cofund
CytoCam	Eurostars 2	Article 185
FIGHT-CNNM2	EJP RD	EJP Cofund
FORTH	Eurostars 2	Article 185
FRAME	GeoERA	ERA-NET Cofund
FORBATH	Eurostars 2	Article 185
FODBASA	Eurostars 2	Article 185
FlyScent	Eurostars 2	Article 185
SUNEX	EN-SUGI	ERA-NET Cofund
FORTHWIND	DemoWind 2	ERA-NET Cofund
C4FUTURE	SusCrop	ERA-NET Cofund
iCareCoops	AAL 2	Article 185
SUREFISH	PRIMA	Article 185
PRAC2LIV	EJP SOIL	EJP Cofund
FEDKITO	PRIMA	Article 185
IMBI	JPco-fuND	ERA-NET Cofund
FOD	DemoWind	ERA-NET Cofund
FrOLik	Eurostars 2	Article 185
FreeWalker	AAL 2	Article 185
MATCH	ERA PerMed	ERA-NET Cofund
SuReMetS	BlueBio	ERA-NET Cofund
Tool4MEDLife	PRIMA	Article 185
ADAIR	JPCOFUND2	ERA-NET Cofund
FEED	PRIMA	Article 185
Power Alliance	ERANet SmartGridPlus	ERA-NET Cofund
m2M-GRID	ERANet SmartGridPlus	ERA-NET Cofund
FMDV_PersIstOmics	ICRAD	ERA-NET Cofund
PlastiSea_DISS	BlueBio	ERA-NET Cofund
COSMAG	M-ERA.NET 2	ERA-NET Cofund
METRODIVER	BiodivERsA3	ERA-NET Cofund
CheapShape	MANUNET III	ERA-NET Cofund
Oenotrace	ICT-AGRI-FOOD	ERA-NET Cofund
Fronthaul for C-RAN	Eurostars 2	Article 185
FrostD	Eurostars 2	Article 185
